0,1,2
病名,发病数,死亡数
甲乙丙类总计,266583,124
甲乙类,9327,124
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,266,111
肝炎,3449,1
甲肝,87,0
乙肝,2487,1
丙肝,727,0
丁肝,1,0
戊肝,143,0
肝炎（未分型）,4,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,0,0
出血热,0,0
狂犬病,0,0
乙脑,0,0
登革热,0,0
炭疽,0,0
痢疾,163,0
肺结核,2326,12
伤寒+副伤寒,1,0
流脑,0,0
百日咳,22,0
白喉,0,0
新生儿破伤风,0,0
猩红热,14,0
布病,9,0
淋病,210,0
梅毒,1692,0
钩体病,0,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
新型冠状病毒感染,1173,0
丙类传染病合计,257256,0
流行性感冒,250570,0
流行性腮腺炎,273,0
风疹,1,0
急性出血性结膜炎,55,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,6006,0
手足口病,350,0
水痘,734,0
