0,1,2
病名,发病数,死亡数
甲乙丙类总计,30558,136
甲乙类传染病合计,14991,136
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,374,116
病毒性肝炎,8020,7
甲型肝炎,16,0
乙型肝炎,5792,6
丙型肝炎,2188,1
丁型肝炎,1,0
戊型肝炎,22,0
肝炎未分型,1,0
脊灰,0,0
人禽流感,0,0
麻疹,4,0
出血热,48,1
狂犬病,1,2
乙脑,1,1
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,348,0
肺结核,3428,8
伤寒和副伤寒,4,0
流脑,0,0
百日咳,8,0
白喉,0,0
新生儿破伤风,0,0
猩红热,111,0
布病,208,0
淋病,331,0
梅毒,2095,1
钩体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,10,0
丙类传染病合计,15567,0
流行性感冒,2609,0
流行性腮腺炎,498,0
风疹,3,0
急性出血性结膜炎,213,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,2,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,7850,0
手足口病,4391,0
