0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,273189,173
甲乙类合计,47173,172
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,482,132
肝炎,26728,27
甲肝,144,0
乙肝,23670,3
丙肝,2534,24
丁肝,7,0
戊肝,303,0
肝炎（未分型）,70,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,16,0
出血热,4,0
狂犬病,0,0
乙脑,0,0
登革热,1147,0
炭疽,0,0
痢疾,58,0
肺结核,5195,13
伤寒+副伤寒,69,0
流脑,1,0
百日咳,1414,0
白喉,0,0
新生儿破伤风,1,0
猩红热,269,0
布病,30,0
淋病,2174,0
梅毒,7156,0
钩体病,7,0
血吸虫病,0,0
疟疾,7,0
人感染H7N9禽流感,0,0
新冠病毒感染,2403,0
猴痘,12,0
丙类合计,226016,1
流行性感冒,197057,1
流行性腮腺炎,805,0
风疹,9,0
急性出血性结膜炎,1390,0
麻风病,9,0
斑疹伤寒,31,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,13113,0
手足口病,13602,0
