0,1,2
病名,发病数,死亡数
甲乙丙类总计,42180,149
甲乙类传染病合计,23148,145
鼠 疫,0,0
霍 乱,0,0
传染性非典,0,0
艾滋病,221,123
病毒性肝炎,11042,8
甲型肝炎,102,0
乙型肝炎,7136,5
丙型肝炎,3689,3
戊型肝炎,65,0
肝炎未分型,50,0
脊 灰,0,0
人禽流感,0,0
甲型H1N1流感,2,0
麻 疹,120,0
出 血 热,9,1
狂 犬 病,8,10
乙脑,1,0
登革热,1,0
炭 疽,0,0
细菌性和阿米巴性痢疾,1355,0
肺结核,7120,2
伤寒和副伤寒,16,0
流 脑,0,0
百 日 咳,3,0
白 喉,0,0
新生儿破伤风,1,0
猩 红 热,79,0
布 病,448,0
淋 病,275,0
梅 毒,2419,0
钩 体 病,0,0
血吸虫病,0,0
疟疾,28,1
丙类传染病合计,19032,4
流行性感冒,861,0
流行性腮腺炎,2248,0
风疹,69,0
急性出血性结膜炎,193,0
麻风病,2,0
斑疹伤寒,1,0
黑热病,0,0
包虫病,2,0
丝虫病,0,0
其它感染性腹泻病,4071,0
手足口病,11585,4
