0,1,2,3
2016年9月上海市法定报告传染病发病数统计表,,,
病名,本市居民,外来人口,合计
甲乙类传染病合计,2070,854,2924
鼠疫,0,0,0
霍乱,0,0,0
传染性非典型肺炎,0,0,0
艾滋病,47,17,64
病毒性肝炎,140,34,174
其中：（1）甲肝,19,1,20
（2）乙肝,36,17,53
（3）丙肝,6,0,6
（4）丁肝,0,0,0
（5）戊肝,43,12,55
（6）肝炎（未分型）,36,4,40
脊髓灰质炎,0,0,0
人感染高致病性禽流感,0,0,0
麻疹,17,24,41
流行性出血热,0,0,0
狂犬病,0,0,0
流行性乙型脑炎,0,0,0
登革热,0,0,0
炭疽,0,0,0
细菌性和阿米巴性痢疾,23,5,28
肺结核,380,236,616
伤寒和副伤寒,3,1,4
流行性脑脊髓膜炎,0,0,0
百日咳,0,0,0
白喉,0,0,0
新生儿破伤风,0,0,0
猩红热,58,31,89
布鲁氏菌病,1,1,2
淋病,409,212,621
梅毒,991,292,1283
钩端螺旋体病,0,0,0
血吸虫病,0,0,0
疟疾,1,1,2
人感染H7N9禽流感,0,0,0
丙类传染病合计,2696,1701,4397
流行性感冒,78,17,95
流行性腮腺炎,200,75,275
风疹,1,1,2
急性出血性结膜炎,2,0,2
麻风病,0,0,0
斑疹伤寒,0,0,0
黑热病,0,0,0
包虫病,0,0,0
丝虫病,0,0,0
其它感染性腹泻病,639,170,809
手足口病,1776,1438,3214
甲乙丙类总计,4766,2555,7321
