0,1,2
病名,发病数,死亡数**
甲乙丙类总计,38644,383
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,15267,383
传染性非典型肺炎,0,0
艾滋病,1482,370
病毒性肝炎*,5110,3
甲型肝炎,155,0
乙型肝炎,3764,2
丙型肝炎,1018,1
丁型肝炎,3,0
戊型肝炎,106,0
未分型肝炎,64,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,14,0
流行性出血热,17,0
狂犬病,5,3
流行性乙型脑炎,4,0
登革热,5,0
炭疽,14,0
细菌性和阿米巴性痢疾,378,0
肺结核,4966,7
伤寒和副伤寒,24,0
流行性脑脊髓膜炎,0,0
百日咳,58,0
白喉,0,0
新生儿破伤风,2,0
猩红热,139,0
布鲁氏菌病,2,0
淋病,282,0
梅毒,2740,0
钩端螺旋体病,5,0
血吸虫病,0,0
疟疾,20,0
人感染H7N9禽流感,0,0
丙类传染病合计,23377,0
流行性感冒,157,0
流行性腮腺炎,983,0
风疹,25,0
急性出血性结膜炎,39,0
麻风病,3,0
斑疹伤寒,5,0
黑热病,1,0
包虫病,48,0
丝虫病,0,0
其他感染性腹泻病,2417,0
手足口病,19699,0
