0,1,2
"病
名",发病数,死亡数
甲、乙、丙类合计,15452,102
甲、乙类合计,14999,102
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,82,72
病毒性肝炎,2606,1
甲肝,20,0
乙肝,2120,0
丙肝,455,1
丁肝,0,0
戊肝,7,0
肝炎（未分型）,4,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
出血热,0,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,26,0
肺结核,1862,27
伤寒+副伤寒,1,0
流行性脑脊髓膜炎,0,0
百日咳,0,0
白喉,0,0
新生儿破伤风,0,0
猩红热,3,0
布病,318,0
淋病,39,0
梅毒,1577,1
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒感染,8484,1
丙类合计,453,0
流行性感冒,104,0
流行性腮腺炎,39,0
风疹,0,0
急性出血性结膜炎,1,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,57,0
丝虫病,0,0
其它感染性腹泻,250,0
手足口病,2,0
