0,1,2
甲乙丙类总计,36327,294
甲类传染病合计,0,0
鼠疫,0,0
霍乱,0,0
乙类传染病合计,15134,294
传染性非典,0,0
艾滋病,836,273
病毒性肝炎*,5633,4
甲肝,103,0
乙肝,4181,2
丙肝,1234,2
丁肝,0,0
戊肝,90,0
肝炎（未分型）,25,0
"脊
灰",0,0
人感染高致病性禽流感,0,0
"麻
疹",4,0
"出
血热",9,0
"狂
犬病",0,0
乙脑,0,0
登革热,1,0
"炭
疽",4,0
细菌和阿米巴痢疾,394,0
肺结核,4718,16
伤寒+副伤寒,51,0
"流
脑",1,0
"百
日咳",18,0
"白
喉",0,0
新生儿破伤风,0,0
"猩
红热",65,0
"布
病",9,0
"淋
病",271,0
"梅
毒",3067,0
"钩
体病",4,1
血吸虫病,0,0
疟疾,1,0
人感染H7N9禽流感,0,0
新型冠状病毒感染的肺炎***,48,0
丙类传染病合计,21193,0
流行性感冒,1178,0
流行性腮腺炎,877,0
风疹,2,0
急性出血性结膜炎,29,0
麻风病,2,0
斑疹伤寒,5,0
黑热病,0,0
包虫病,41,0
丝虫病,0,0
其它感染性腹泻病,3367,0
手足口病,15692,0
