0,1,2
病名,发病数,死亡数
甲、乙、丙类合计,6748,74
甲、乙合计,5723,74
"鼠
疫",0,0
"霍
乱",0,0
传染性非典型肺炎,0,0
"艾滋
病",29,41
病毒性肝炎,2071,5
甲肝,8,0
乙肝,1662,1
丙肝,389,4
丁肝,0,0
戊肝,10,0
肝炎（未分型）,2,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
"麻
疹",0,0
"出血
热",1,0
"狂犬
病",0,0
流行性乙型脑炎,0,0
"登革
热",0,0
"炭
疽",1,0
细菌性和阿米巴性痢疾,89,0
"肺结
核",1358,27
伤寒+副伤寒,5,0
流行性脑脊髓膜炎,0,0
"百日
咳",22,0
"白
喉",0,0
新生儿破伤风,0,0
"猩红
热",28,0
"布
病",594,0
"淋
病",82,0
"梅
毒",1320,1
钩端螺旋体病,0,0
血吸虫病,0,0
"疟
疾",0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,123,0
丙类合计,1025,0
流行性感冒,40,0
流行性腮腺炎,102,0
"风
疹",2,0
急性出血性结膜炎,1,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,57,0
丝虫病,0,0
其它感染性腹泻,589,0
手足口病,234,0
