"date","year","month","disease_en","value","province","value_norm","out_label"
"2008.01",2008,1,"Enteric fever",11,"Anhui",-0.701468278562625,""
"2008.01",2008,1,"Enteric fever",1,"Beijing",-0.204299271707054,""
"2008.01",2008,1,"Enteric fever",2,"Chongqing",-0.888037005225363,""
"2008.01",2008,1,"Enteric fever",27,"Fujian",-0.82748420144444,""
"2008.01",2008,1,"Enteric fever",1,"Gansu",-0.920795387509225,""
"2008.01",2008,1,"Enteric fever",69,"Guangdong",-1.209965586824,""
"2008.01",2008,1,"Enteric fever",63,"Guangxi",-0.830211778192076,""
"2008.01",2008,1,"Enteric fever",58,"Guizhou",-0.23547574550555,""
"2008.01",2008,1,"Enteric fever",1,"Hainan",-0.765732004151574,""
"2008.01",2008,1,"Enteric fever",20,"Hebei",-0.291548773394897,""
"2008.01",2008,1,"Enteric fever",1,"Heilongjiang",-0.758094355844336,""
"2008.01",2008,1,"Enteric fever",4,"Henan",-0.663361946767387,""
"2008.01",2008,1,"Enteric fever",23,"Hubei",-0.22857890259405,""
"2008.01",2008,1,"Enteric fever",37,"Hunan",-1.26285452599065,""
"2008.01",2008,1,"Enteric fever",1,"Inner Mongolia",-0.789617165650035,""
"2008.01",2008,1,"Enteric fever",14,"Jiangsu",-0.165527533633243,""
"2008.01",2008,1,"Enteric fever",38,"Jiangxi",1.16243963324966,""
"2008.01",2008,1,"Enteric fever",0,"Jilin",-0.978651152231974,""
"2008.01",2008,1,"Enteric fever",17,"Liaoning",0.364997154618534,""
"2008.01",2008,1,"Enteric fever",0,"Ningxia",-0.924554573952656,""
"2008.01",2008,1,"Enteric fever",1,"Qinghai",0.121530708241066,""
"2008.01",2008,1,"Enteric fever",1,"Shaanxi",-0.883879435642101,""
"2008.01",2008,1,"Enteric fever",7,"Shandong",0.29916266252623,""
"2008.01",2008,1,"Enteric fever",3,"Shanghai",0.39512693436771,""
"2008.01",2008,1,"Enteric fever",9,"Shanxi",-1.14754305690724,""
"2008.01",2008,1,"Enteric fever",22,"Sichuan",-0.360087167322795,""
"2008.01",2008,1,"Enteric fever",0,"Tianjin",-0.73311258913822,""
"2008.01",2008,1,"Enteric fever",0,"Tibet",-0.112806676003707,""
"2008.01",2008,1,"Enteric fever",2,"Xinjiang",-0.704365587752493,""
"2008.01",2008,1,"Enteric fever",220,"Yunnan",-0.424647894553498,""
"2008.01",2008,1,"Enteric fever",70,"Zhejiang",0.809049855042004,""
"2008.02",2008,2,"Enteric fever",6,"Anhui",-1.20438803018333,""
"2008.02",2008,2,"Enteric fever",1,"Beijing",-0.204299271707054,""
"2008.02",2008,2,"Enteric fever",6,"Chongqing",-0.396665679304683,""
"2008.02",2008,2,"Enteric fever",19,"Fujian",-1.2440635815988,""
"2008.02",2008,2,"Enteric fever",2,"Gansu",-0.587403954100712,""
"2008.02",2008,2,"Enteric fever",99,"Guangdong",-0.498584370114166,""
"2008.02",2008,2,"Enteric fever",40,"Guangxi",-1.36673913052514,""
"2008.02",2008,2,"Enteric fever",43,"Guizhou",-0.537566340068591,""
"2008.02",2008,2,"Enteric fever",0,"Hainan",-1.09663004472677,""
"2008.02",2008,2,"Enteric fever",29,"Hebei",0.861506093778159,""
"2008.02",2008,2,"Enteric fever",1,"Heilongjiang",-0.758094355844336,""
"2008.02",2008,2,"Enteric fever",2,"Henan",-0.793179704792562,""
"2008.02",2008,2,"Enteric fever",25,"Hubei",-0.1036811484621,""
"2008.02",2008,2,"Enteric fever",32,"Hunan",-1.39558953882891,""
"2008.02",2008,2,"Enteric fever",0,"Inner Mongolia",-1.2458404169145,""
"2008.02",2008,2,"Enteric fever",6,"Jiangsu",-0.743369105589291,""
"2008.02",2008,2,"Enteric fever",10,"Jiangxi",-0.976370947219803,""
"2008.02",2008,2,"Enteric fever",1,"Jilin",-0.0420279635927842,""
"2008.02",2008,2,"Enteric fever",7,"Liaoning",-0.709334092937906,""
"2008.02",2008,2,"Enteric fever",1,"Ningxia",-0.271927815868428,""
"2008.02",2008,2,"Enteric fever",0,"Qinghai",-0.781268838692567,""
"2008.02",2008,2,"Enteric fever",1,"Shaanxi",-0.883879435642101,""
"2008.02",2008,2,"Enteric fever",1,"Shandong",-0.929365976208535,""
"2008.02",2008,2,"Enteric fever",2,"Shanghai",-0.0618873511660267,""
"2008.02",2008,2,"Enteric fever",12,"Shanxi",-0.984007688261506,""
"2008.02",2008,2,"Enteric fever",9,"Sichuan",-1.34128538745129,""
"2008.02",2008,2,"Enteric fever",1,"Tianjin",-0.367727400941535,""
"2008.02",2008,2,"Enteric fever",0,"Tibet",-0.112806676003707,""
"2008.02",2008,2,"Enteric fever",12,"Xinjiang",-0.333341739059822,""
"2008.02",2008,2,"Enteric fever",137,"Yunnan",-0.941749459368574,""
"2008.02",2008,2,"Enteric fever",65,"Zhejiang",0.661116230991339,""
"2008.03",2008,3,"Enteric fever",1,"Anhui",-1.70730778180403,""
"2008.03",2008,3,"Enteric fever",2,"Beijing",0.375167753498408,""
"2008.03",2008,3,"Enteric fever",9,"Chongqing",-0.028137184864173,""
"2008.03",2008,3,"Enteric fever",26,"Fujian",-0.879556623963736,""
